input,output,instruction
"Krabi police have arrested a suspect in a drugs and robbery case, after a key to the detention cell at Phang Nga Police Station was stolen ",ตำรวจพังงา แถลงจับผู้ต้องหาคดีเสพยา ลักทรัพย์ หลังสะเดาะกุญแจห้องขัง สภ ตะกั่วป่า หลบหนี ตามล่าตัวเจอบนรถสิบล้อเก่าในสวนปาล์ม รับใช้ลวดแค่เส้นเดียว บอกได้วิชาจากเพื่อนในคุก,แปลอังกฤษเป็นภาษาไทย
"Krabi police have arrested a suspect in a drugs and robbery case, after a key to the detention cell at Phang Nga Police Station was stolen ",ตำรวจในพังงาได้แถลงข่าวว่าจับผู้ต้องหาที่มีแนวคดีเกี่ยวกับการใช้ยาเสพติดและการลักทรัพย์อย่างสะดวกหลังจากที่พวกเขาสะเดาะกุญแจห้องขังในสถานีตำรวจตะกั่วป่าแล้วหลบหนี ตำรวจตามล่าเขาจนพบบุคคลนั้นบนรถสิบล้อเก่าที่สวนปาล์ม พวกเขาใช้ความชำนาญในการทำลวดเพียงเส้นเดียวเท่านั้น และได้รับข้อมูลจากเพื่อนที่อยู่ในคุกเอง,แปลอังกฤษเป็นภาษาไทย
"Tonight (July 17) there will be the Thai Fight 2012, the first match, at Praya Harbor in Pattaya, where the weigh  in was held for the fighters yesterday  Sompong is not present, and the promoters say his match has been canceled  This is almost 100% confirmation that he will not be fighting ", คืนนี้ ( 17 เม ย ) จะมีการแข่งขันไทยไฟท์2012 นัดแรก หรือ นัดโชว์ตัว ที่แหลมบาลีฮาย พัทยา ซึ่งล่าการชั่งน้ำหนักนักมวยเมื่อวานนี้ บัวขาว ไม่มาปรากฎตัว รวมทั้งโปรโมเตอร์ บอกว่าไ ด้ตัดคู่ของบัวขาวออกไปแล้วเป็นการยืนยันค่อนข้าง 100 เปอร์เซ็นต์ว่า บัวขาวจะขึ้นชกไม่ได้อย่างแน่นอน,แปลอังกฤษเป็นภาษาไทย
"Tonight (July 17) there will be the Thai Fight 2012, the first match, at Praya Harbor in Pattaya, where the weigh  in was held for the fighters yesterday  Sompong is not present, and the promoters say his match has been canceled  This is almost 100% confirmation that he will not be fighting ","คืนนี้ (17 เม ย ) จะมีการแข่งขันไทยไฟท์2012 นัดแรก หรือ นัดโชว์ตัว ที่แหลมบาลีฮาย พัทยา แต่จากการชั่งน้ำหนักวันก่อน นักมวยชื่อ ""บัวขาว"" ไม่ปรากฎตัวในนัดนี้ ผู้จัดงานอธิบายว่าได้ให้คู่แข่งของบัวขาวถูกตัดออกแล้ว ซึ่งสถานการณ์นี้ยืนยันให้สามารถกล่าวได้ว่า บัวขาวเป็นคนที่แน่นอนว่าจะไม่มาที่สนามชกในคืนนี้",แปลอังกฤษเป็นภาษาไทย
The cops used a water cannon to blast the package in front of the Krungthong Bank's Sisaket branch  It was a glass gift for a staff member who had forgotten it , เจ้าหน้าที่ใช้ปืนแรงดันน้ำยิงทำลายกล่องของขวัญต้องสงสัยวางอยู่หน้าธนาคารกสิกรไทย สาขาสีลม ปรากฏว่าเป็นกล่องของขวัญเครื่องแก้วของพนักงานที่ลืมไว้,แปลอังกฤษเป็นภาษาไทย
The cops used a water cannon to blast the package in front of the Krungthong Bank's Sisaket branch  It was a glass gift for a staff member who had forgotten it ,เจ้าหน้าที่ยิงบุกกล่องของขวัญด้วยปืนน้ำที่มีแรงดันสูงที่สาขาสีลมของกสิกรไทย พบว่าเป็นของขวัญเครื่องแก้วของพนักงานที่ลืมไว้ภายในหน้าธนาคารนั้น,แปลอังกฤษเป็นภาษาไทย
"Rom, the New Democracy Movement, said the parody is not a criminal act  Parodies are not crimes  The junta must stop persecuting people with different views on national security  We call for the end to the misuse of Article 116",โรม ขบวนการประชาธิไตยใหม่ ระบุคนล้อเลียนไม่ใช่อาชญากร การล้อเลียนไม่ใช่อาชญากรรม จี้ คสช  หยุดเล่นงานคนคิดต่างด้วยเรื่องความมั่นคง พร้อมขอหยุดใช้ ม 112 ตีความเกินขอบเขต ล้อ FREE DAY SAY FREEDOM,แปลอังกฤษเป็นภาษาไทย
"Rom, the New Democracy Movement, said the parody is not a criminal act  Parodies are not crimes  The junta must stop persecuting people with different views on national security  We call for the end to the misuse of Article 116",โรม ขบวนการประชาธิไตยใหม่ ระบุว่าการล้อเลียนไม่ใช่อาชญากร และการล้อเลียนไม่เป็นการกระทำผิดกฎหมาย จึงเรียกร้องให้คณะกรรมการควบคุมความมั่นคงหยุดการเพิ่มเติมของกติกา มาตรา 112 ที่มีข้อความที่เกินขอบเขต และเรียกร้องสำหรับวันสำรอง วันเสรีภาพ,แปลอังกฤษเป็นภาษาไทย
"Registration is not over  You can still register 24 hrs  uninterrupted  Prayut disclosed that so far, the number of people who are interested in the project is 19 08 million  We may see 20 millions ",ลงทะเบียนเราไม่ทิ้งกัน รับเงิน 5 พัน ยังลงทะเบียนได้ต่อเนื่องตลอด 24 ชั่วโมง อุตตม เผยยอดคนสนใจ 19 8 ล้านคน คาดอาจได้เห็น 20 ล้านคนแน่,แปลอังกฤษเป็นภาษาไทย
"Registration is not over  You can still register 24 hrs  uninterrupted  Prayut disclosed that so far, the number of people who are interested in the project is 19 08 million  We may see 20 millions ","ลงทะเบียนอย่างไม่รอดำเนินการแล้ว ได้รับเงิน 5,000 บาท สามารถลงทะเบียนต่อเนื่องได้ทั้งวันในระยะเวลา 24 ชั่วโมง อุตตมเผยแจกข่าวว่ามีผู้สนใจทั้งหมด 19 8 ล้านคน คาดว่าอาจเห็นได้ถึง 20 ล้านคนในที่สุด",แปลอังกฤษเป็นภาษาไทย
Oooo  Rough page  This kind of page is not so gosh  It's not that wild  We think we're so cute  Bring me to meet the goreng  Review the new food  Invite my page to eat a hundred lor, อุ๊ยหยาบจังเลย เพจอย่างนี้ไม่น่าดูเลย มันก็ไม่ได้เถื่อนขนาดนั้นนะ เราว่าเรากินน่ารักอยู่นะ พาไปรู้จัก คิงคองเป็นคนแ ก รีวิวอาหารมิติใหม่ ชวนลูกเพจมาลุยแหลก ร้อยโลไปด้วยกัน,แปลอังกฤษเป็นภาษาไทย
Oooo  Rough page  This kind of page is not so gosh  It's not that wild  We think we're so cute  Bring me to meet the goreng  Review the new food  Invite my page to eat a hundred lor,อิอิ กลัวจังเลย เพจตัวนี้แย่มากเลย ไม่อยากดูเลย แต่ก็ไม่ได้ห่วงเรื่องความถูกหรือผิดนั่นขนาดเถิดเทิงนะ เรารู้สึกว่าเราน่ารักอยู่นะ มานั่งรับรู้กัน กำลังมีคิงคองสงครามรีวิวอาหารมิติใหม่ให้รู้จัก ท้าทายพวกเล็กๆ เชิญลุยด้วยกันสิ ร้อยโลจะไปกัน,แปลอังกฤษเป็นภาษาไทย
"28 Apr  2019 at the Grievance Redressal Center, Office of the National Council for Peace and Order (NCPO) 3 Mines Affected Communities Network: Phitsanulok, Phetchabun and Phayao ",26 เม ย 2559 ณ ศูนย์รับเรื่องร้องทุกข์ สำนักงานคณะกรรมการพัฒนาระบบราชการ (ก พ ร ) เครือข่ายประชาชนผู้ได้รับผลกระทบจากเหมืองแร่ทองคำ 3 จังหวัด ได้แก่ พิจิตร เพชรบูรณ์ พิษณุโลก และนักวิชาการ,แปลอังกฤษเป็นภาษาไทย
"28 Apr  2019 at the Grievance Redressal Center, Office of the National Council for Peace and Order (NCPO) 3 Mines Affected Communities Network: Phitsanulok, Phetchabun and Phayao ",วันที่ 26 เมษายน 2559 ที่ศูนย์รับเรื่องร้องทุกข์ของกลุ่มเครือข่ายประชาชนที่ได้รับผลกระทบจากเหมืองแร่ทองคำในจังหวัด พิจิตร เพชรบูรณ์ พิษณุโลกและผู้ที่มีความเชี่ยวชาญในสาขาวิชาการ,แปลอังกฤษเป็นภาษาไทย
U S  Embassy Chonburi congratulates His Majesty King Maha Vajiralongkorn Bhumibol Adulyadej on his Coronation,เอกอัครราชทูตสหรัฐฯ ประจำประเทศไทย ร่วมถวายพระพรชัยมงคล แสดงความยินดีในวาระสมเด็จพระบรมโอรสาธิราชฯ สยามมกุฎราชกุมาร ขึ้นทรงราชย์เป็น สมเด็จพระเจ้าอยู่หัว รัชกาลที่ 10 ,แปลอังกฤษเป็นภาษาไทย
U S  Embassy Chonburi congratulates His Majesty King Maha Vajiralongkorn Bhumibol Adulyadej on his Coronation,เอกอัครราชทูตสหรัฐอเมริกาประจำประเทศไทยเข้าร่วมในพิธีถวายพระพรชัยมงคลที่แสดงความยินดีในความเป็นสมเด็จพระบรมโอรสาธิราชฯสยามมกุฎราชกุมารที่เข้ารับเป็นสมเด็จพระเจ้าอยู่หัวของรัชกาลที่ 10 โดยเท่ากับกันในความยาว,แปลอังกฤษเป็นภาษาไทย
"Will be a young bride soon  Rin Tin and Praya Pipat have been dating non stop, so much so that they won't be surprised if they end up as the winners of this year's ""Couple Of The Year"" award at the 27th Thailand Tattler and Celebrities Gala Dinner ",จะได้เป็นตายายป้ายแดงกันเร็วๆนี้ คู่ กลินท์ เพชรพริ้ง สารสิน ยังสวีตกันไม่จางจืด จนได้เป็น Couple of the Year จากงานครบ 27 ปี Thailand Tatler และเซเลบไฮโซ คนอื่นๆ,แปลอังกฤษเป็นภาษาไทย
"Will be a young bride soon  Rin Tin and Praya Pipat have been dating non stop, so much so that they won't be surprised if they end up as the winners of this year's ""Couple Of The Year"" award at the 27th Thailand Tattler and Celebrities Gala Dinner ",คู่กลินท์ เพชรพริ้ง สารสิน จะได้รับการยกย่องเป็นตายายป้ายแดงแห่งปีไม่ช้านานนี้ อย่างกล้าหาญ จนเกือบจำเป็นจะต้องเห็นความดีเพิ่มขึ้น เมื่อมารวมเป็น Couple of the Year ในงาน Thailand Tatler 27 ขวบและเซเลบไฮโซ มันไม่ใช่เรื่องราวที่คนอื่นๆสามารถซ้ำได้,แปลอังกฤษเป็นภาษาไทย
"A sister in law of an actor detained on charges of money laundering is denying a case of conning investors to trade in digital currencies, but admits to having received money from her brother, who is on the run from a money laundry charge, to start a business ",พี่สาวนักแสดงที่ถูกจับดำเนินคดีข้อหาร่วมกันฟอกเงิน ปฏิเสธกรณีหลอกผู้เสียหายลงทุนซื้อขายเงินสกุลดิจิทัล แต่ยอมรับว่าได้รับโอนเงินจากพี่ชายที่ยังหลบหนีคดี เพื่อมาทำธุรกิจ,แปลอังกฤษเป็นภาษาไทย
"A sister in law of an actor detained on charges of money laundering is denying a case of conning investors to trade in digital currencies, but admits to having received money from her brother, who is on the run from a money laundry charge, to start a business ",พี่สาวที่เป็นนักแสดงถูกจับดำเนินคดีข้อหาร่วมกันในการล้างเงิน พี่สาวปฏิเสธคำร้องเรียนที่หลอกลวงผู้เสียหายให้ลงทุนในการซื้อขายเงินสกุลดิจิทัล แต่พี่สาวยอมรับว่าได้รับเงินโอนจากพี่ชายที่กำลังหลบหนีคดี เพื่อใช้ในธุรกิจ,แปลอังกฤษเป็นภาษาไทย
"Community network 4 sub district rally in front of K V  Listen to the result of the community eviction in the 3 big project area  The red line Srinakarin Expressway Khon Kaen Chaiyaphum Gunthong Kulak, the Chairman, listens to ",เครือข่ายสลัม 4 ภาค ชุมนุมหน้า ก คมนาคม รอรับฟังผลการเจรจาแก้ปัญหาไล่รื้อชุมชน ในพื้นที่ก่อสร้าง 3 โครงการใหญ่ รถไฟฟ้าสายสีแดง ทางด่วนศรีรัช รถไฟรางคู่ ขอนแก่น ชัจจ์ กุลดิลก นั่งประธานคุย,แปลอังกฤษเป็นภาษาไทย
"Community network 4 sub district rally in front of K V  Listen to the result of the community eviction in the 3 big project area  The red line Srinakarin Expressway Khon Kaen Chaiyaphum Gunthong Kulak, the Chairman, listens to ",ชมรมเครือข่ายสลัม 4 ภาคมีการจัดประชุมในเดือนกรกฎาคมเพื่อฟังผลการเจรจาแก้ไขปัญหาภัยรื้อชุมชนในพื้นที่ก่อสร้าง 3 โครงการใหญ่ ซึ่งได้แก่ รถไฟฟ้าสายสีแดง ทางด่วนศรีรัช รถไฟรางคู่ ขอนแก่น นางสาวชัจจ์ กุลดิลกเป็นประธานการประชุมคุย,แปลอังกฤษเป็นภาษาไทย
"Tun is back on the run  In Chumphon, through Namao Pakpao, Dr  Mee revised the plan to start early in the morning  By noon, they do activities  After 1 50 p m  run to the end  It is important to save runners to their destination ",ตูน ออกวิ่งอีกครั้ง เข้าสู่จ ชุมพร ผ่านอ ละแม หลังสวน หมอเมย์ ปรับแผนใหม่ออกเช้าขึ้น พอสายพักทำกิจกรรม หลัง 15 00 น  ออกวิ่งต่อไปจนค่ำ เชื่อจะทำระยะทาง เวลา ได้ตามแผน ที่สำคัญช่วยเซฟตัวนักวิ่งไปให้ถึงจุดหมายปลายทาง ,แปลอังกฤษเป็นภาษาไทย
"Tun is back on the run  In Chumphon, through Namao Pakpao, Dr  Mee revised the plan to start early in the morning  By noon, they do activities  After 1 50 p m  run to the end  It is important to save runners to their destination ",ตูนออกรับนอกอีกครั้งเข้าสู่จังหวัดชุมพรผ่านอำเภอละแม หลังสวนซึ่งเขาได้ปรับแผนใหม่ก่อนออกเช้าขึ้น เมื่อถึงเวลาพักกิจกรรมหลัง 15 00 น เขาก็ออกวิ่งต่อไปจนถึงค่ำ เขาเชื่อว่าจะทำระยะทางและเวลาตามที่วางแผนไว้ สิ่งที่สำคัญคือเขาต้องช่วยให้นักวิ่งถึงจุดหมายปลายทางอย่างปลอดภัย,แปลอังกฤษเป็นภาษาไทย
"Prayut pointed out that many of the economic indicators the government has not told, re emphasizing the idea is flawed if one looks at exports as a problem ",พิชัย ชี้ หลายดัชนีเศรษฐกิจรัฐบาลไม่ได้บอก ย้ำ แนวคิด สมคิด ยังหลงทางถ้ามองส่งออกมากเป็นปัญหา เย้ย ความเชื่อมั่นเคยมีแต่หายไปแล้ว ,แปลอังกฤษเป็นภาษาไทย
"Prayut pointed out that many of the economic indicators the government has not told, re emphasizing the idea is flawed if one looks at exports as a problem ",พิชัยชี้ว่า หลายดัชนีเศรษฐกิจรัฐบาลไม่ได้บอก แสดงถึงแนวคิดที่สมเหตุสมผล แต่ยังคงหลงทางถ้าเรามองปัญหาการส่งออกมากๆ แล้วลดความเชื่อมั่นที่มีอยู่อย่างรวดเร็ว,แปลอังกฤษเป็นภาษาไทย
"A drug addicted thief stole cash from a replica of the Buddha Shrine at Wat Singharaj Muang, Sra Kaeo and was chased by the cops to the forest where he was caught ",โจรติดยาใจบาป ขโมยเงินปิดทององค์พระนอนจำลอง วัดพระนอนจักรสีห์ วรวิหาร สิงห์บุรี แต่โดนจนท ไล่ติดตามจนสามารถตะครุบตัวไว้ได้ ขณะหลบซ่อนอยู่ในป่าข้างทาง ,แปลอังกฤษเป็นภาษาไทย
"A drug addicted thief stole cash from a replica of the Buddha Shrine at Wat Singharaj Muang, Sra Kaeo and was chased by the cops to the forest where he was caught ",โจรล้างบาปที่ขโมยเงินในวัดพระนอนจักรสีห์ สิงห์บุรี ได้รับการไล่ติดตามจนสามารถหลบซ่อนตัวไว้ในป่าข้างทางแล้ว,แปลอังกฤษเป็นภาษาไทย
"During the meeting, the collection of revenue in the whole country was presented  The collection from 1st October 2014 to 15th July 2015 is as follow: (i) Revenue collection by Bangkok City Police, projected at Baht 13,668 million, collection to be 136,780 million baht  (ii","ในที่ประชุมได้มีการรายงานสถิติการจัดเก็บรายได้ในภาพรวม ซึ่งขณะนี้ยอดรายรับของ กทม  ตั้งแต่วันที่ 1 ต ค  2557 15 ก ค 2558 จัดเก็บได้ดังนี้ รายได้ที่ กทม  จัดเก็บเอง ประมาณการไว้ 13,685 ล้านบาท เก็บได้ 14,678 ล้านบาท คิดเป็น",แปลอังกฤษเป็นภาษาไทย
"During the meeting, the collection of revenue in the whole country was presented  The collection from 1st October 2014 to 15th July 2015 is as follow: (i) Revenue collection by Bangkok City Police, projected at Baht 13,668 million, collection to be 136,780 million baht  (ii","ในการประชุมนั้น ได้มีการนำเสนอสถิติเกี่ยวกับการจัดเก็บรายได้ทั่วไป ณ ปัจจุบัน กทม  ได้เริ่มจัดเก็บรายได้ตั้งแต่วันที่ 1 ตค  2557 15 กค  2558 โดยรายได้ที่เก็บเอง กทม  ประมาณการไว้ที่ 13,685 ล้านบาท และรายได้จริงที่เก็บได้มีมูลค่าอยู่ที่ 14,678 ล้านบาท นับเป็นเลขเฉลี่ย",แปลอังกฤษเป็นภาษาไทย
"Moroccan authorities have arrested a suspect, who is believed to have direct links to the attackers in Paris at the end of 2016 ",ทางการโมร็อกโกจับกุมผู้ต้องสงสัยรายหนึ่ง ซึ่งเชื่อว่ามีส่วนเกี่ยวข้องโดยตรงกับผู้ก่อเหตุโจมตีในกรุงปารีสเมื่อปลายปีก่อน,แปลอังกฤษเป็นภาษาไทย
"Moroccan authorities have arrested a suspect, who is believed to have direct links to the attackers in Paris at the end of 2016 ",ทางการดำเนินคดีของ Royal Moroccan Police ได้จับกุมผู้ต้องสงสัยรายหนึ่งที่เชื่อว่ามีความเกี่ยวข้องโดยตรงกับผู้ก่อเหตุการโจมตีในกรุงปารีสเมื่อปลายปีก่อน,แปลอังกฤษเป็นภาษาไทย
"Privilege, don't count  Bigboss, resign  Disobeying M 44, sacking the head of the Manpower Department, is a violation of ethics  Thaksin adjusts the cabinet to solve the problem ",อภิสิทธิ์ ไม่เชื่อ บิ๊กบี้ ลาออกไปทำธุรกิจส่วนตัว จวกใช้ ม 44 เด้ง อธิบดีกรมจัดหางาน ขัดธรรมาภิบาล แนะ บิ๊กตู่ ปรับ ครม แก้โจทย์ ศก ชี้หมดเวลาเกรงใจพวกพ้อง ขอใช้คนตรงกับงาน,แปลอังกฤษเป็นภาษาไทย
"Privilege, don't count  Bigboss, resign  Disobeying M 44, sacking the head of the Manpower Department, is a violation of ethics  Thaksin adjusts the cabinet to solve the problem ",อภิสิทธิ์ไม่เชื่อในการลาออกของบิ๊กบี้เพื่อเริ่มธุรกิจส่วนตัว จากการใช้มาตรา 44 เป็นเครื่องกระตุ้นให้อถิบดีกรมจัดหางาน นำไปสู่การกำจัดความเลวทั้งหมด โดยแนะนำให้บิ๊กตู่ปรับเปลี่ยนโครงสร้างรัฐบาลเพื่อแก้ไขปัญหา ที่ทางกระทรวงศึกษาธิการชี้ให้เหมือนวันนั้นเอง และจำเป็นต้องใช้คนที่เข้าใจงาน,แปลอังกฤษเป็นภาษาไทย
A review by Thai online news agency 'Prachani Online' revealed some interesting information about the violence in three southern provinces  The editorial board of Prachani decided to follow up on the situation ,จากการสืบค้นของ ประชาไทออนไลน์ พบว่า ยังมีข้อมูลบางประการที่น่าสนใจ เกี่ยวกับเหตุการณ์ความรุนแรงที่เกิดขึ้นใน 3 จังหวัดชายแดนภาคใต้ กองบรรณาธิการ จึงตัดสินใจเกาะติดพื้นที่,แปลอังกฤษเป็นภาษาไทย
A review by Thai online news agency 'Prachani Online' revealed some interesting information about the violence in three southern provinces  The editorial board of Prachani decided to follow up on the situation ,พบว่า จากการสืบค้นของ ประชาไทออนไลน์ โดยข้อมูลบางอย่างนั้น น่าสนใจ มีส่วนเกี่ยวข้องกับเหตุการณ์ความรุนแรงใน 3 จังหวัดชายแดนภาคใต้ จึงทำให้กองบรรณาธิการตัดสินใจเลือกที่จะติดตามพื้นที่นี้,แปลอังกฤษเป็นภาษาไทย
"A 11 year old boy in an old town, with no clue as to the source of the blood  A skin examination did not reveal any wounds  His mother, who had previously witnessed her son's seizures, later saw him shivering, and saw blood on his body and face  The doctor could not find a cause ",เด็กน้อยวัย 11 ปี เมืองกรุงเก่า มีเลือดไหลตามตัวไม่ทราบสาเหตุ ตรวจตามผิวหนังไม่พบบาดแผล แม่เผยก่อนหน้านี้ลูกมีอาการชักกระตุก ต่อมามีเลือดออกตามลำตัวและใบหน้า หมอหาสาเหตุไม่ได้ ต้องหยุดเรียนชั่วคราวเพราะเลือดเปื้อนเสื้อทั้งวัน,แปลอังกฤษเป็นภาษาไทย
"A 11 year old boy in an old town, with no clue as to the source of the blood  A skin examination did not reveal any wounds  His mother, who had previously witnessed her son's seizures, later saw him shivering, and saw blood on his body and face  The doctor could not find a cause ",เด็กสาวอายุ 11 ปีที่อาศัยอยู่ในเมืองกรุงเก่า มีเลือดไหลออกมาจากร่างกายโดยที่ไม่ทราบสาเหตุ การตรวจสอบตามผิวหนังไม่พบบาดแผลใด ๆ แม่ของเด็กเปิดเผยว่าลูกคนนี้มีอาการชักกระตุกมาก่อนหน้านี้ และในภาวะต่อมาก็พบว่ามีเลือดไหลออกมาตามร่างกายและใบหน้าอยู่ แต่หมอไม่สามารถระบุสาเหตุได้ จึงต้องหยุดการเรียนชั่วคราวเพื่อป้องกันไม่ให้เลือดเปื้อนเสื้อผ้าตลอดวัน,แปลอังกฤษเป็นภาษาไทย
"A herd of cows wandered onto a road in central Chiangmai, causing a car crash  The cow was injured, the car damaged  Cops are trying to find the owner of the cow to take it back ",เกิดอุบัติเหตุรถชนวัวที่เดินหลงมาอยู่กลางถนนใน อ เมืองเชียงใหม่ ทำให้วัวบาดเจ็บ รถยนต์ได้รับความเสียหาย ตำรวจกำลังตามหาตัวเจ้าของวัวเพื่อให้มารับกลับไปดูแล,แปลอังกฤษเป็นภาษาไทย
"A herd of cows wandered onto a road in central Chiangmai, causing a car crash  The cow was injured, the car damaged  Cops are trying to find the owner of the cow to take it back ",เกิดเหตุรถชนกับวัวในเขตเมืองเชียงใหม่ ทำให้วัวได้รับบาดเจ็บและรถยนต์เสียหาย ตำรวจกำลังค้นหาเจ้าของวัวเพื่อเพื่อให้มารับวัวกลับไปดูแล,แปลอังกฤษเป็นภาษาไทย
"Since the shocking announcement by the French prosecutor, the world has been stunned  Andrius Lubitz, a German co pilot of German carrier Lufthansa, is suspected of deliberately or with intent, steering the jetliner to crash into the Alps ",นับตั้งแต่นาทีที่อัยการฝรั่งเศส แถลงข่าวสุดช็อก ทำให้ชาวโลกต้องตกตะลึง นายแอนเดรียส ลูบิตซ์ นักบินผู้ช่วยชาวเยอรมัน ของสายการบินเยอรมันวิงส์​ มีความจงใจ หรือมีเจตนา บังคับเครื่องบินโดยสาร เที่ยวบิน 4U 9525 พุ่งชนเทือกเขาแอลป์,แปลอังกฤษเป็นภาษาไทย
"Since the shocking announcement by the French prosecutor, the world has been stunned  Andrius Lubitz, a German co pilot of German carrier Lufthansa, is suspected of deliberately or with intent, steering the jetliner to crash into the Alps ",นาทีที่อัยการฝรั่งเศส ประกาศข่าวที่สั่นสะเทือน เกิดความตกใจให้กับชาวโลก นายแอนเดรียส ลูบิตซ์ นักบินชาวเยอรมัน จากสายการบินเยอรมันวิงส์​ มีแผนหรือจุดมุ่งหมายที่อยากกดความร้อนให้เครื่องบินเดินทาง 4U 9525 ชนกับเทือกเขาแอลป์,แปลอังกฤษเป็นภาษาไทย
"The Suphanburi FC may miss out on a play off for the AFC Champions League  The Thai team's visa to China was not submitted in time, as the Chinese Embassy is closed during Chinese New Year, and a fine may also be incurred ",บุญมีแต่กรรมบัง! สุโขทัย เอฟซี อาจชวดเล่นเพลย์ออฟ ศึกเอเอฟซี แชมเปียนส์ลีก เหตุทำวีซ่าเข้าประเทศจีน ไม่ทัน เพราะสถานทูตจีน ปิดในช่วงตรุษจีน และส่อถูกปรับเงินอีกด้วย ,แปลอังกฤษเป็นภาษาไทย
"The Suphanburi FC may miss out on a play off for the AFC Champions League  The Thai team's visa to China was not submitted in time, as the Chinese Embassy is closed during Chinese New Year, and a fine may also be incurred ",ชะอำ เอฟซี อาจมีปัญหาในการเข้าร่วมการแข่งขันในศึกแชมเปียนส์ลีก เนื่องจากต้องขอวีซ่าเพื่อเดินทางไปประเทศจีน แต่ไม่ทันเวลาเนื่องจากสถานทูตจีนปิดตัวเมื่อวันตรุษจีน และยังได้รับการปรับส่วนเงินของวีซ่าอีกด้วย,แปลอังกฤษเป็นภาษาไทย
"Britain's Cave Rescue Organisation is concerned about the weather and water levels, which could pose an obstacle to rescuing those trapped in the caves  A Chilean miner who has been underground for more than two months and has become a global news story is urging Thai children to learn from his experience",สภากู้ภัยในถ้ำของอังกฤษแสดงความเป็นห่วงสภาพอากาศและระดับน้ำ ซึ่งอาจเป็นอุปสรรคต่อการช่วยเหลือผู้ที่ติดอยู่ภายในถ้ำหลวง ขณะที่อดีตคนงานเหมืองชาวชิลีที่ติดอยู่ใต้เหมืองกว่า 2 เดือน และกลายเป็นข่าวใหญ่ไปทั่วโลกฝากให้คำแนะนำให้แก่เด็กไทย,แปลอังกฤษเป็นภาษาไทย
