w1,w2
เขียดผู้มีแกรก,แขกผู้มีเกียจ
เหี่ยวเธอคนดวง,หวงเธอคนเดียว
ไขให้เธอเห็นจอ,ขอให้เธอเห็นใจ
ตีไม่มัง,ตังไม่มี
ไขตังหน่อ,ขอตังหน่อย
ไล่คือการฮัก,รักคือการให้
จันอยู่ใกล้ไกล,ใจอยู่ใกล้กัน
คะกันนบ,คบกันนะ
แพ้รักทบ,พบรักแท้
สบีดาย,สบายดี
ไรเต็มหัวจั๊ก,รักเต็มหัวใจ
ไทยมีเจอ,เทอไม่มีใจ
คันถึงทุกวิ,คิดถึงทุกวัน
รอบมั้ยว่าชู้,รู้มั้ยว่าชอบ
เขอมีเพียงทอ,ขอมีเพียงเธอ
